0,29570000000,5.50E+10,5.50E+10
0.1,1237000,17,5
0.2,3850000,23,9
0.3,3866000,26,11
0.4,2407000,37,10
0.5,2259000,31,10
0.6,2433000,37,15
0.7,2829000,37,22
0.8,3124000,42,16
0.9,3301000,47,23
1,3438000,61,23
1.1,3545000,63,15
1.2,3625000,57,13
1.3,3575000,51,18
1.4,3763000,47,17
1.5,4143000,56,12
1.6,4510000,38,16
1.7,4900000,40,18
1.8,5431000,59,8
1.9,5351000,40,16
2,4879000,44,20
2.1,4384000,41,10
2.2,3878000,37,16
2.3,3403000,34,10
2.4,3176000,34,8
2.5,3142000,33,15
2.6,3098000,19,9
2.7,3025000,19,9
2.8,2892000,10,10
2.9,5638000,20,2
3,3081000,17,8
3.1,3520000,6,7
3.2,3395000,6,4
3.3,3564000,4,2
3.4,3420000,4,5
3.5,3050000,4,2
3.6,2678000,1,2
3.7,2323000,3,2
3.8,1990000,1,2
3.9,1734000,5,2
4,1715000,4,1
4.1,1815000,2,2
4.2,2037000,2,0
4.3,2321000,4,1
4.4,2720000,2,0
4.5,3254000,0,0
4.6,3789000,2,1
4.7,4376000,0,0
4.8,5129000,3,0
4.9,6029000,0,0
5,7088000,1,0
5.1,8400000,1,1
5.2,10000000,3,0
5.3,11770000,1,0
5.4,13750000,0,1
5.5,15940000,1,0
5.6,18380000,1,0
5.7,20900000,0,0
5.8,23490000,1,1
5.9,26200000,2,0
6,29050000,1,1
6.1,31940000,2,0
6.2,34840000,1,1
6.3,37780000,4,0
6.4,40740000,0,0
6.5,43670000,3,0
6.6,46570000,2,0
6.7,50140000,1,0
6.8,57720000,4,1
6.9,66560000,3,0
7,76000000,1,0
7.1,86000000,5,0
7.2,95300000,3,1
7.3,94600000,3,0
7.4,91400000,4,2
7.5,87600000,8,0
7.6,82900000,16,1
7.7,97300000,35,5
7.8,233800000,53,8
7.9,401300000,57,9
8,580400000,72,18
8.1,771000000,81,25
8.2,927000000,94,26
8.3,820000000,59,25
8.4,657800000,46,17
8.5,484100000,32,12
8.6,299600000,32,8
8.7,129900000,33,3
8.8,104700000,29,5
8.9,103900000,60,4
9,102900000,72,10
9.1,101800000,103,18
9.2,119700000,130,33
9.3,253600000,172,38
9.4,411800000,184,51
9.5,575300000,201,65
9.6,743000000,154,50
9.7,878000000,117,58
9.8,781000000,130,39
9.9,640100000,69,26
10,494600000,58,19
10.1,344500000,62,21
10.2,190300000,59,16
10.3,110300000,50,16
10.4,106900000,58,20
10.5,103400000,72,17
10.6,99800000,63,20
10.7,107700000,68,31
10.8,127400000,81,24
10.9,147400000,79,34
11,167800000,60,38
11.1,188400000,79,27
11.2,192200000,59,24
11.3,178700000,82,16
11.4,164900000,62,25
11.5,150900000,67,20
11.6,136600000,72,14
11.7,122000000,75,30
11.8,112500000,68,21
11.9,108100000,63,26
12,103500000,81,25
12.1,98800000,68,26
12.2,94200000,79,24
12.3,91100000,58,22
12.4,89700000,75,25
12.5,88400000,75,22
12.6,87100000,61,21
12.7,86200000,71,25
12.8,85900000,72,21
12.9,85800000,79,29
13,85500000,79,18
13.1,85100000,68,30
13.2,84900000,89,22
13.3,84700000,92,22
13.4,84400000,59,28
13.5,84200000,78,24
13.6,83900000,81,15
13.7,83800000,76,17
13.8,83400000,90,19
13.9,83000000,102,23
14,82600000,90,36
14.1,82200000,86,34
14.2,81800000,86,28
14.3,81300000,83,25
14.4,80700000,86,24
14.5,80100000,88,26
14.6,79500000,89,29
14.7,78900000,86,21
14.8,78500000,102,21
14.9,78000000,90,31
15,77600000,95,38
15.1,77000000,82,40
15.2,76600000,90,30
15.3,76300000,82,28
15.4,75900000,80,28
15.5,75600000,101,29
15.6,75300000,85,23
15.7,74900000,100,27
15.8,74500000,94,24
15.9,74000000,112,37
16,73500000,101,29
16.1,73000000,118,29
16.2,72540000,98,31
16.3,72020000,81,29
16.4,71500000,105,44
16.5,71000000,90,31
16.6,70470000,75,35
16.7,69940000,99,31
16.8,69440000,100,28
16.9,68970000,88,27
17,68500000,91,24
17.1,68010000,86,31
17.2,67520000,85,28
17.3,66990000,88,32
17.4,66390000,90,34
17.5,65770000,108,36
17.6,65170000,111,35
17.7,64620000,94,34
17.8,64160000,100,28
17.9,63660000,88,32
18,63200000,98,36
18.1,62700000,104,31
18.2,62230000,83,15
18.3,61730000,96,40
18.4,61240000,105,32
18.5,60740000,106,33
18.6,60230000,95,23
18.7,59770000,74,26
18.8,59340000,94,23
18.9,58890000,74,24
19,58470000,92,33
19.1,58000000,117,38
19.2,57590000,86,32
19.3,57220000,90,29
19.4,56870000,87,32
19.5,56490000,109,29
19.6,56130000,91,41
19.7,55760000,114,30
19.8,55350000,99,38
19.9,54920000,95,29
20,54490000,89,25
20.1,54060000,96,21
20.2,53620000,111,27
20.3,53190000,88,41
20.4,52750000,88,33
20.5,52310000,105,37
20.6,51880000,97,31
20.7,51440000,101,30
20.8,51020000,84,32
20.9,50610000,105,44
21,50200000,100,24
21.1,49780000,94,25
21.2,49360000,96,35
21.3,48900000,98,31
21.4,48370000,90,27
21.5,47840000,92,42
21.6,47310000,94,39
21.7,46860000,86,31
21.8,46470000,94,25
21.9,46100000,98,27
22,45700000,84,39
22.1,45330000,98,27
22.2,44940000,99,29
22.3,44580000,90,40
22.4,44240000,87,29
22.5,43880000,87,35
22.6,43530000,86,23
22.7,43140000,72,19
22.8,42750000,96,34
22.9,42350000,80,36
23,41950000,94,28
23.1,41570000,116,29
23.2,41200000,91,29
23.3,40920000,72,21
23.4,40620000,87,30
23.5,40320000,93,23
23.6,40020000,93,29
23.7,39720000,81,28
23.8,39400000,98,25
23.9,39070000,85,25
24,38740000,92,20
24.1,38400000,77,33
24.2,38070000,83,24
24.3,37740000,97,27
24.4,37400000,88,26
24.5,37070000,92,22
24.6,36730000,84,23
24.7,36390000,90,22
24.8,36050000,95,22
24.9,35730000,94,25
25,35380000,95,35
25.1,35060000,74,19
25.2,34710000,73,25
25.3,34350000,97,32
25.4,33970000,71,26
25.5,33590000,95,25
25.6,33220000,80,18
25.7,32860000,75,17
25.8,32580000,74,19
25.9,32260000,82,25
26,31960000,84,31
26.1,31650000,80,23
26.2,31340000,77,24
26.3,31030000,76,29
26.4,30740000,74,26
26.5,30430000,66,23
26.6,30120000,55,24
26.7,29820000,74,26
26.8,29510000,70,17
26.9,29190000,71,14
27,28890000,72,26
27.1,28590000,52,22
27.2,28320000,51,21
27.3,28080000,77,21
27.4,27860000,58,27
27.5,27630000,67,17
27.6,27400000,54,26
27.7,27180000,77,19
27.8,26920000,61,20
27.9,26650000,52,19
28,26370000,75,27
28.1,26090000,61,14
28.2,25820000,52,25
28.3,25550000,44,15
28.4,25270000,61,12
28.5,24990000,51,15
28.6,24710000,53,12
28.7,24450000,46,18
28.8,24170000,35,19
28.9,23890000,34,7
29,23620000,41,15
29.1,23340000,49,12
29.2,23070000,47,15
29.3,22780000,20,17
29.4,22470000,32,13
29.5,22170000,36,16
29.6,21860000,37,10
29.7,21590000,36,9
29.8,21360000,40,9
29.9,21110000,32,10
30,20860000,33,14
30.1,20620000,20,8
30.2,20380000,25,6
30.3,20140000,20,10
